weight,name
89,adwokat
78,sąd
36,bohater
36,prawnik
26,uciśnionych
25,praw
25,rycerz
21,tarcza
20,krzyża
17,prawo
14,pies
14,zwierząt
13,piłkarz
12,policjant
12,"praw człowieka"
12,prawa
12,wiary
11,dobry
10,pomoc
9,napastnik
9,"piłka nożna"
9,żołnierz
7,mężczyzna
7,"praw zwierząt"
6,ochrona
6,prokurator
5,narodu
5,obrona
5,ochroniarz
5,piłka
5,sprawiedliwość
5,świata
4,atak
4,krzyż
4,miecz
4,sad
4,wojsko
4,wybawca
4,zwierzęta
4,życia
3,dzieci
3,Honor
3,odwaga
3,ojczyzny
3,prawny
3,protektor
3,ratunek
3,sądowy
3,walka
3,wolności
3,zamek
2,batman
2,bezpieczeństwo
2,BIEDNYCH
2,bramkarz
2,człowiek
2,dobra
2,dobro
2,kobiet
2,krasnolud
2,mecz
2,moralności
2,nic
2,oskarżony
2,oskarżyciel
2,pilka
2,pomocnik
2,przyjaciel
2,przyrody
2,ryceż
2,skazany
2,soldat
2,sprawiedliwości
2,toga
2,urząd
2,wojownik
2,z urzędu
2,złoczyńca
