181,śnieg
111,kolor
79,czarny
43,kruk
34,dom
28,miś
26,obrus
17,koń
17,ser
15,kieł
15,orzeł
13,dzień
11,papier
10,kot
10,puch
9,jasny
7,jeleń
7,proszek
6,mleko
6,niewinność
5,chleb
5,czystość
4,chmura
4,czysty
4,dym
4,kołnierzyk
4,kwiat
4,niedźwiedź
4,pies
3,bałwan
3,człowiek
3,gołąb
3,kościół
3,łabądź
3,mężczyzna
3,ściana
3,welon
3,ząb
2,anioł
2,barwa
2,ekran
2,flaga
2,kapelusz
2,koc
2,krzyż
2,księżyc
2,niewinny
2,pokój
2,prądnik
2,ptak
2,rumak
2,szkwał
2,wilk
205,krowa
124,białe
40,matki
30,biały
23,krowie
22,biel
19,płatki
18,kawa
14,rozlane
13,nabiał
12,kwaśne
10,łaciate
10,woda
10,zsiadłe
9,kot
9,pić
9,ser
9,świeże
8,matka
7,"od krowy"
6,kozie
5,chleb
5,kakao
5,szklanka
5,uht
5,zimne
4,jogurt
4,koza
4,masło
4,picie
4,śmietana
3,białko
3,butelka
3,ciepłe
3,dziecko
3,miód
3,napój
3,tłuste
3,tłuszcz
2,"i miód"
2,kwaśny
2,nos
2,odtłuszczone
2,pełne
2,pierś
2,pije
2,"pod nosem"
2,proszek
2,rozlać
2,skisłe
2,sojowe
2,ssać
2,śniadanie
2,świerze
240,żółty
74,szwajcarski
61,pleśniowy
54,dziury
49,zółty
47,biały
21,dziura
20,gouda
19,dziurawy
16,"z dziurami"
14,mysz
12,jedzenie
8,edamski
7,szynka
6,twaróg
5,pleśń
4,kanapka
4,kozi
4,mleko
4,szwajcaria
4,topiony
3,jeść
3,nabiał
2,cheese
2,chleb
2,dobry
2,dziecko
2,francja
2,gołda
2,kalorie
2,oscypek
2,pleśnowy
2,pyszny
2,ser
2,serek
2,smaczny
2,śmierdzi
2,wędzony
73,czysta
60,mokra
32,zimna
29,rzeka
28,morze
28,życie
26,mineralna
23,picie
22,mokro
22,ogień
16,głęboka
16,płynie
16,strumień
15,pragnienie
14,cicha
13,niebieska
12,źródlana
11,spokojna
10,jezioro
10,mokre
10,pić
10,rwąca
10,święcona
10,źródło
9,kran
8,napój
8,ocean
8,przejrzysta
7,ciecz
7,kropla
7,sodowa
6,bystra
6,czystość
6,pitna
6,płyn
6,przeźroczysta
6,słona
5,butelka
5,ciepła
5,"do picia"
5,gazowana
5,kolońska
5,morska
5,szum
5,wielka
4,brudna
4,niebieski
4,niegazowana
4,plusk
3,brzeg
3,kac
3,strumyk
3,szeroka
3,szklanka
3,śnieg
3,świeża
3,świeżość
3,wakacje
3,wartka
3,wodospad
3,wóda
3,zimno
3,żywioł
2,ciemna
2,deszcz
2,duża
2,H20
2,lód
2,mętna
2,mokry
2,ognista
2,orzeźwienie
2,pływanie
2,powietrze
2,przezroczysta
2,przezroczystość
2,pustynia
2,ryba
2,smaczna
2,studnia
2,tafla
2,toaletowa
2,utleniona
2,wilgoć
2,wódka
2,ziemia
2,żródlana
2,życia
2,"w proszku"
